COMPANY,RANK,RANK_CHANGE,REVENUE,PROFIT,NUM_OF_EMPLOYEES,SECTOR,CITY,STATE,NEWCOMER,CEO_FOUNDER,CEO_WOMAN,PROFITABLE,PREV_RANK,CEO,WEBSITE,TICKER,MARKET_CAP,CEO_NAME,CEO_DOB,DOB_MMDD,DOB_YYYY,MISSING_DOBS,BIRTH_CITY,BIRTH_STATE,ORIGIN_STATE,CURRENT_RESIDENCE,CEO_BACH_MAJOR,CEO_BACH_SCHOOL,CEO_MAST_MAJOR,CEO_MAST_SCHOOL,PHD,DROPPED_OUT,YR_TURNED_CEO,PREVIOUSLY_CEO,SECOND_MAST_MAJOR,SECOND_MAST_SCHOOL,THIRD_MAST_MAJOR,THIRD_MAST_SCHOOL,ZODIAC,AGE,AGE_TURNED_CEO
Equinix,487,-26,6636,500,10944,Financials,Redwood City,CA,no,no,no,yes,461,Charles J. Meyers,https://www.equinix.com,EQIX,67281,Charles J. Meyers,,,,,,,,,Chemical Engineering,"University of Colorado, Boulder",MBA,Northwestern,no,no,11/1/2000,no,Engineering,Northwestern,,,,,
Dillard&#8217;s,488,0,6624,863,25350,Retailing,Little Rock,AR,yes,no,no,yes,,William T. Dillard II,https://www.dillards.com,DDS,4928,William T. Dillard II,3/4/1945,3/4/2023,11/1/1945,,Nashville,AR,AR,,Business Administration,"University of Arkansas, Fayetteville",MBA,Harvard,honorary,no,11/1/1998,no,,,,,Pisces,78,53
Regions Financial,489,-55,6605,2521,19626,Financials,Birmingham,AL,no,no,no,yes,434,John M. Turner Jr.,https://www.regions.com,RF,20861,John M. Turner Jr.,,,,,,,,,Economics,University of Georgia,no,no,no,no,11/1/2018,no,,,,,,,
Yum Brands,490,-12,6584,1575,25650,"Hotels, Restaurants & Leisure",Louisville,KY,no,no,no,yes,478,David W. Gibbs,https://www.yum.com,YUM,34253,David W. Gibbs,,,,,,,NY,,Mathematics,Johns Hopkins,MBA,Duke,no,no,11/1/2020,"yes, of internal subsidiary",,,,,,,
Landstar System,491,0,6540,382,1399,Transportation,Jacksonville,FL,yes,no,no,yes,,James B. Gattoni,https://www.landstar.com,LSTR,5600,James B. Gattoni,,,,,,,,FL,Accounting,Ramapo College,no,no,no,no,11/1/2014,no,,,,,,,
CF Industries Holdings,492,0,6538,917,3003,Chemicals,Deerfield,IL,yes,no,no,yes,,W. Anthony Will,https://www.cfindustries.com,CF,21551,W. Anthony Will,,,,,,,,,Electrical Engineering,Iowa State,MBA,Northwestern,no,no,11/1/2014,no,,,,,,,
Northern Trust,493,-50,6488,1545,21100,Financials,Chicago,IL,no,no,no,yes,443,Michael G. O'Grady,https://www.northerntrust.com,NTRS,24215,Michael G. O'Grady,,,,,,,,IL,Business Administration,Notre Dame,MBA,Harvard,no,no,11/1/2018,no,,,,,,,
Robert Half International,494,0,6461,599,14600,Business Services,Menlo Park,CA,yes,no,no,yes,,M. Keith Waddell,https://www.roberthalf.com,RHI,12638,M. Keith Waddell,1/1/1958,1/1/2023,11/1/1958,"MMDD missing, default to 1/1",,,,,,,,,,no,11/1/2004,,,,,,,65,46
Compass,495,0,6421,-494,4775,Technology,New York,NY,yes,yes,no,no,,Robert L. Reffkin,https://www.compass.com,COMP,3359,Robert L. Reffkin,6/7/1979,6/7/2023,11/1/1979,,Berkeley,CA,CA,NY,Economics,Columbia,MBA,Columbia,no,no,11/1/2012,founder,,,,,Gemini,44,33
Hasbro,496,-2,6420,429,6640,Household Products,Pawtucket,RI,no,no,no,yes,494,Christian Cocks,https://www.hasbro.com,HAS,11384,Christian Cocks,,,,,,,,,English,Harvard,no,no,no,no,11/1/2022,no,,,,,,,
Roper Technologies,497,-9,6416,1153,19300,Technology,Sarasota,FL,no,no,no,yes,488,L. Neil Hunn,https://www.ropertech.com,ROP,49869,L. Neil Hunn,,,,,,,GA,,Finance and Accounting,Miami University,MBA,Harvard,no,no,11/1/2018,no,,,,,,,
ARKO,498,0,6413,59,11236,Retailing,Richmond,VA,yes,no,no,yes,,Arie Kotler,https://www.arkocorp.com,ARKO,1134,Arie Kotler,,,,,,,Israel,,no,no,no,no,no,no,11/1/2020,yes,,,,,,,
Frontier Communications,499,-97,6411,,15640,Telecommunications,Norwalk,CT,no,no,no,no,402,Nick Jeffery,https://www.frontier.com,FYBR,6763,Nick Jeffery,2/18/1968,2/18/2023,11/1/1968,,Liverpool,United Kingdom,United Kingdom,,Economics,University of Warwick,no,no,no,no,11/1/2021,yes,,,,,Aquarius,55,53
Ameren,500,-31,6394,990,9116,Energy,St. Louis,MO,no,no,no,yes,,Martin J. Lyons Jr.,https://www.ameren.com,AEE,24199,Martin J. Lyons Jr.,1/1/1967,1/1/2023,11/1/1967,"MMDD missing, default to 1/1",,,,MO,Accounting,Saint Louis University,MBA,"Washington University, St Louis",no,no,11/1/2022,no,Advanced Management,University of Chicago,,,,56,55
Dick's Sporting Goods,307,13,12293,1520,34300,Retailing,Coraopolis,PA,no,no,yes,yes,320,Lauren R. Hobart,https://www.dickssportinggoods.com,DKS,7987,Lauren R. Hobart,8/1/1968,8/1/2023,11/1/1968,,New York,NY,,,,UPenn,MBA,Stanford,no,no,11/1/2021,no,,,,,Leo,55,53
Newmont,308,-35,12222,1166,14400,Energy,Denver,CO,no,no,no,yes,273,Thomas R. Palmer,https://www.newmont.com,NEM,62968,Thomas R. Palmer,,,,,,Australia,Australia,CO,Mechanical Engineering,Monash University,Mechanical Engineering,Monash University,no,no,11/1/2019,no,,,,,,,
Devon Energy,309,0,12206,2813,1600,Energy,Oklahoma City,OK,yes,no,no,yes,,Richard E. Muncrief,https://www.devonenergy.com,DVN,39274,Richard E. Muncrief,1/1/1959,1/1/2023,11/1/1959,"MMDD missing, default to 1/1",,OK,OK,OK,Petroleum Engineering,Oklahoma State University,no,no,no,no,11/1/2021,yes,,,,,,64,62
Warner Bros. Discovery,310,-20,12191,1006,11000,Media,New York,NY,no,no,no,yes,290,David M. Zaslav,https://https://wbd.com,WBD,12701,David M. Zaslav,1/15/1960,1/15/2023,11/1/1960,,Brooklyn,NY,NY,NY,,Binghamton,JD,Boston University,honorary,no,11/1/2021,yes,,,,,Capricorn,63,61
J.B. Hunt Transport Services,311,4,12168,761,33045,Transportation,Lowell,AR,no,no,no,yes,315,John N. Roberts III,https://www.jbhunt.com,JBHT,21053,John N. Roberts III,,,,,,,,,Marketing,"University of Arkansas, Fayetteville",no,no,no,no,11/1/2011,no,,,,,,,
Alcoa,312,18,12152,429,12200,Materials,Pittsburgh,PA,no,no,no,yes,330,Roy C. Harvey,https://www.alcoa.com,AA,16603,Roy C. Harvey,,,,,,,,,Mineral Engineering,Columbia,MBA,UPenn,no,no,11/1/2016,no,,,,,,,
Peter Kiewit Sons',313,-70,12149,753,28800,Engineering & Construction,Omaha,NE,no,no,no,yes,243,Rick Lanoha,https://www.kiewit.com,,,Rick Lanoha,,,,,,,,,Construction Engineering,"University of Nebraska, Omaha",no,no,no,no,11/1/2020,no,,,,,,,
Aramark,314,-79,12096,-91,248300,Business Services,Philadelphia,PA,no,no,no,no,235,John J. Zillmer,https://www.aramark.com,ARMK,9656,John J. Zillmer,1/1/1956,1/1/2023,11/1/1956,"MMDD missing, default to 1/1",,,WI,PA,,Marquette University,MBA,Northwestern,no,no,11/1/2019,yes,,,,,,67,63
Vistra,315,-41,12077,-1274,5060,Energy,Irving,TX,no,no,no,no,274,James A. Burke,https://www.vistracorp.com,VST,10435,James A. Burke,,,,,,,,TX,Economics,Tulane,MBA,Tulane,no,no,11/1/2022,"yes, of internal subsidiary",,,,,,,
State Street,316,-64,12030,2693,38784,Financials,Boston,MA,no,no,no,yes,252,Ronald P. O'Hanley,https://www.statestreet.com,STT,31892,Ronald P. O'Hanley,3/13/1969,3/13/2023,11/1/1969,,,,,MA,Political Science,Syracuse,MBA,Harvard,no,no,11/1/2019,"yes, of internal subsidiary",,,,,Pisces,54,50
Unum Group,317,-87,12014,824,10200,Financials,Chattanooga,TN,no,no,no,yes,230,Richard P. McKenney,https://www.unum.com,UNM,6383,Richard P. McKenney,,,,,Eliot,ME,ME,TN,Mechanical Engineering,Tufts University,no,no,no,no,11/1/2015,no,,,,,,,
Alleghany,318,21,12004,1035,13313,Financials,New York,NY,no,no,no,yes,339,Joseph P. Brandon,https://www.alleghany.com,Y,11396,Joseph P. Brandon,1/1/1959,1/1/2023,11/1/1959,"MMDD missing, default to 1/1",,,,,Economics,UPenn,no,no,no,no,11/1/2021,"yes, at external subsidiary",,,,,,64,62
Boston Scientific,319,-14,11888,1041,41000,Health Care,Marlborough,MA,no,no,no,yes,305,Michael F. Mahoney,https://www.bostonscientific.com,BSX,63310,Michael F. Mahoney,,,,,Rochester,NY,IL,MA,Finance,University of Iowa,MBA,Wake Forest,no,no,11/1/2011,yes,,,,,,,
Westlake,320,68,11778,2015,14550,Chemicals,Houston,TX,no,no,no,yes,388,Albert Yuan Chao,https://www.westlake.com,WLK,15785,Albert Yuan Chao,,,,,,Taiwan,,TX,,Brandeis,MBA,Columbia,no,no,11/1/2004,"yes, of internal subsidiary",,,,,,,
Entergy,321,-21,11743,1119,12369,Energy,New Orleans,LA,no,no,no,yes,300,Andrew S. Marsh,https://www.entergy.com,ETR,23760,Andrew S. Marsh,,,,,,,LA,,Mechanical Engineering,Notre Dame,MBA,Northwestern,no,no,11/1/2022,no,,,,,,,
International Flavors & Fragrances,322,0,11656,270,24000,Chemicals,New York,NY,yes,no,no,yes,,Franklin K. Clyburn Jr.,https://www.iff.com,IFF,33456,Franklin K. Clyburn Jr.,,,,,,,,,,Franklin & Marshall College,MBA,Arizona State University,no,no,11/1/2022,no,,,,,,,
DaVita,323,-52,11619,979,69000,Health Care,Denver,CO,no,no,no,yes,271,Javier J. Rodriguez,https://www.davita.com,DVA,10893,Javier J. Rodriguez,,,,,,Mexico,,CO,Finance,Boston College,MBA,Harvard,no,no,11/1/2019,"yes, of internal subsidiary",Advanced Management,Stanford,,,,,
Mutual of Omaha Insurance,324,-42,11459,579,5739,Financials,Omaha,NE,no,no,no,yes,282,James T. Blackledge,https://www.mutualofomaha.com,,,James T. Blackledge,,,,,,,NE,NE,Actuarial Science,"University of Nebraska, Lincoln",MBA,Creighton,no,no,11/1/2015,no,,,,,,,
Assurant,325,-23,11410,1372,15600,Financials,New York,NY,no,no,no,yes,302,Keith W. Demmings,https://www.assurant.com,AIZ,10493,Keith W. Demmings,,,,,,Canada,Canada,GA,Commerce,University of Victoria,no,no,no,no,11/1/2022,"yes, of internal subsidiary",,,,,,,
Liberty Media,326,0,11400,398,6886,Media,Englewood,CO,no,no,no,yes,326,Gregory B. Maffei,https://www.libertymedia.com,LSXMA,15239,Gregory B. Maffei,5/24/1960,5/24/2023,11/1/1960,,,NY,,CO,,Darmouth,MBA,Harvard,no,no,11/1/2005,yes,,,,,Gemini,63,45
Hormel Foods,327,-10,11386,909,20000,"Food, Beverages & Tobacco",Austin,MN,no,no,no,yes,317,James P. Snee,https://www.hormelfoods.com,HRL,28089,James P. Snee,,,,,,,,MN,Marketing,New Mexico State University,MBA,University of St Thomas,no,no,11/1/2016,no,Advanced Management,Harvard,,,,,
Icahn Enterprises,328,125,11328,-518,19536,Financials,Sunny Isles Beach,FL,no,no,no,no,453,David Willetts,https://www.ielp.com,IEP,15237,David Willetts,,,,,,,,,Finance and Accounting,Franklin & Marshall College,no,no,no,no,11/1/2021,"yes, at external subsidiary",,,,,,,
Republic Services,329,-32,11295,1290,35000,Business Services,Phoenix,AZ,no,no,no,yes,297,Jon Vander Ark,https://www.republicservices.com,RSG,41842,Jon Vander Ark,1/1/1976,1/1/2023,11/1/1976,"MMDD missing, default to 1/1",,,MI,MI,,Calvin College,JD,Harvard,no,no,11/1/2021,no,,,,,,47,45
Mohawk Industries,330,-9,11201,1033,43000,Household Products,Calhoun,GA,no,no,no,yes,321,Jeffrey S. Lorberbaum,https://www.mohawkind.com,MHK,8082,Jeffrey S. Lorberbaum,10/24/1954,10/24/2023,11/1/1954,,,,GA,TN,Finance,University of Denver,no,no,no,no,11/1/2001,no,,,,,Scorpio,69,47
Conagra Brands,331,-48,11185,1299,18600,"Food, Beverages & Tobacco",Chicago,IL,no,no,no,yes,283,Sean M. Connolly,https://www.conagrabrands.com,CAG,16104,Sean M. Connolly,,,,,,,,IL,Economics,Vanderbilt,MBA,"University of Texas, Austin",no,no,11/1/2015,yes,,,,,,,
Norfolk Southern,332,-25,11142,3005,18100,Transportation,Atlanta,GA,no,no,no,yes,307,Alan H. Shaw,https://www.norfolksouthern.com,NSC,68389,Alan H. Shaw,1/1/1968,1/1/2023,11/1/1968,"MMDD missing, default to 1/1",Williamsburg,VA,VA,GA,Aerospace Engineering,Virginia Tech,MBA,Virginia Tech,no,no,11/1/2022,no,Advanced Management,Harvard,,,,55,54
AES,333,-20,11141,-409,8450,Energy,Arlington,VA,no,no,no,no,313,Andres R. Gluski,https://www.aes.com,AES,17172,Andres R. Gluski,,,,,,Venezuela,Venezuela,DC,,Wake Forest University,Economics,University of Virginia,yes,no,11/1/2011,"yes, of internal subsidiary",,,,,,,
AGCO,334,-3,11138,897,23300,Industrials,Duluth,GA,no,no,no,yes,331,Eric P. Hansotia,https://www.agcocorp.com,AGCO,10885,Eric P. Hansotia,1/1/1968,1/1/2023,11/1/1968,"MMDD missing, default to 1/1",London,United Kingdom,WI,,Mechanical Engineering,University of Wisconsin-Madison,Mechanical Engineering,University of Wisconsin-Madison,no,no,11/1/2021,no,MBA,University of Iowa,,,,55,53
Caesars Entertainment,335,0,11110,-1019,49000,"Hotels, Restaurants & Leisure",Reno,NV,yes,no,no,no,,Thomas R. Reeg,https://www.caesars.com,CZR,16565,Thomas R. Reeg,,,,,,,,WI,Finance,Notre Dame,no,no,no,no,11/1/2019,yes,,,,,,,
Equitable Holdings,336,-92,11036,-439,10000,Financials,New York,NY,no,no,no,no,244,Mark Pearson,https://www.equitableholdings.com,EQH,12041,Mark Pearson,,,,,,,NY,,,,,,no,no,11/1/2011,"yes, at external subsidiary",,,,,,,
Whirlpool,162,-8,21985,1783,69000,Industrials,Benton Harbor,MI,no,no,no,yes,154,Marc R. Bitzer,https://www.whirlpoolcorp.com,WHR,10101,Marc R. Bitzer,1/1/1965,1/1/2023,11/1/1965,"MMDD missing, default to 1/1",,Germany,Switzerland,MI,,,MBA,University of St Gallen,yes,no,11/1/2017,no,,,,,,58,52
Union Pacific,163,-10,21804,6523,32124,Transportation,Omaha,NE,no,no,no,yes,153,Lance M. Fritz,https://www.up.com,UNP,171682,Lance M. Fritz,1/1/1963,1/1/2023,11/1/1963,"MMDD missing, default to 1/1",Simi Valley,CA,,NE,Mechanical Engineering,Bucknell,MBA,Northwestern,no,no,11/1/2015,no,,,,,,60,52
International Paper,164,-23,21780,1752,38200,Materials,Memphis,TN,no,no,no,yes,141,Mark S. Sutton,https://www.internationalpaper.com,IP,17301,Mark S. Sutton,,,,,New Orleans,LA,LA,,Electrical Engineering,Louisiana State University,no,no,no,no,11/1/2014,no,,,,,,,
Altria Group,165,-27,21111,2475,6000,"Food, Beverages & Tobacco",Richmond,VA,no,no,no,yes,138,William F. Gifford Jr.,https://www.altria.com,MO,94952,William F. Gifford Jr.,,,,,,,,,Accounting,Virginia Commonwealth University,no,no,no,no,11/1/2020,"yes, of internal subsidiary",,,,,,,
CDW,166,-5,20821,989,13900,Technology,Lincolnshire,IL,no,no,yes,yes,161,Christine A. Leahy,https://www.cdw.com,CDW,24140,Christine A. Leahy,1/1/1964,1/1/2023,11/1/1964,"MMDD missing, default to 1/1",,,,IL,English,Brown,JD,Boston College,no,no,11/1/2019,no,Advanced Management,Northwestern,,,,59,55
ManpowerGroup,167,-2,20724,382,30000,Business Services,Milwaukee,WI,no,no,no,yes,165,Jonas Prising,https://www.manpowergroup.com,MAN,5026,Jonas Prising,1/1/1965,1/1/2023,11/1/1965,"MMDD missing, default to 1/1",,Sweden,Sweden,WI,,,MBA,Stockholm School of Economics,no,no,11/1/2014,no,,,,,,58,49
PG&E,168,-8,20642,-102,26000,Energy,San Francisco,CA,no,no,yes,no,160,Patricia K. Poppe,https://www.pgecorp.com,PCG,29434,Patricia K. Poppe,1/1/1969,1/1/2023,11/1/1969,"MMDD missing, default to 1/1",Jackson,MI,MI,CA,Industrial Engineering,Purdue,Industrial Engineering,Purdue,no,no,11/1/2021,yes,MBA,Stanford,,,,54,52
Carrier Global,169,2,20613,1664,58000,Industrials,Palm Beach Gardens,FL,no,no,no,yes,171,David L. Gitlin,https://www.corporate.carrier.com,CARR,39127,David L. Gitlin,,,,,,,,,Political Science,Cornell,JD,UConn,no,no,11/1/2019,no,MBA,MIT,,,,,
Baker Hughes,170,-30,20502,-219,54000,Energy,Houston,TX,no,no,no,no,140,Lorenzo Simonelli,https://www.bakerhughes.com,BKR,37410,Lorenzo Simonelli,7/27/1973,7/27/2023,11/1/1973,,Florence,Italy,United Kingdom,TX,Business and Economics,Cardiff University,Chemical Sciences,University of Florence,no,no,11/1/2017,"yes, at external subsidiary",,,,,Leo,50,44
Cleveland-Cliffs,171,0,20444,2988,26000,Materials,Cleveland,OH,yes,no,no,yes,,C. Lourenco Goncalves,https://www.clevelandcliffs.com,CLF,16891,C. Lourenco Goncalves,,,,,,Brazil,Brazil,OH,Metallurgical Engineering,Military Institute of Engineering,Metallurgical Engineering,Federal University of Minas Gerais,no,no,11/1/2014,yes,,,,,,,
United States Steel,172,138,20275,4174,24540,Materials,Pittsburgh,PA,no,no,no,yes,310,David B. Burritt,https://www.ussteel.com,X,9832,David B. Burritt,1/1/1955,1/1/2023,11/1/1955,"MMDD missing, default to 1/1",St Louis,MO,IL,,Accounting,Bradley University,MBA,"University of Illinois, Urbana-Champaign",no,no,11/1/2017,no,,,,,,68,62
Becton Dickinson,173,4,20248,2092,75000,Health Care,Franklin Lakes,NJ,no,no,no,yes,177,Thomas E. Polen,https://www.bd.com,BDX,75749,Thomas E. Polen,,,,,,,,,,Salisbury University,MBA,Johns Hopkins,no,no,11/1/2020,no,,,,,,,
CarMax,174,-38,20092,747,26889,Retailing,Richmond,VA,no,no,no,yes,136,William D. Nash,www.carmax.com,KMX,15305,William D. Nash,,,,,,,VA,VA,Accounting,James Madison University,no,no,no,no,11/1/2016,no,,,,,,,
Sherwin-Williams,175,-13,19945,1864,61626,Chemicals,Cleveland,OH,no,no,no,yes,162,John G. Morikis,https://www.sherwin-williams.com,SHW,65038,John G. Morikis,,,,,,,IN,OH,Business Administration and Psychology,Saint Joseph's College,MBA,National Louis University,no,no,11/1/2016,no,,,,,,,
Builders FirstSource,176,174,19894,1725,28000,Materials,Dallas,TX,no,no,no,yes,350,David Flitman,https://www.bldr.com,BLDR,9205,David Flitman,5/23/1964,5/23/2023,11/1/1964,,,,,,Chemical Engineering,Purdue,no,no,no,no,11/1/2021,yes,,,,,Gemini,59,57
Marsh & McLennan,177,-2,19820,3143,83000,Financials,New York,NY,no,no,no,yes,175,Daniel S. Glaser,https://www.marshmclennan.com,MMC,85681,Daniel S. Glaser,,,,,,,NY,,History,Ohio Wesleyan University,Advanced Management,Harvard,honorary,no,11/1/2013,no,,,,,,,
PNC Financial Services Group,178,-58,19698,5674,58547,Financials,Pittsburgh,PA,no,no,no,yes,120,William S. Demchak,https://www.pnc.com,PNC,77203,William S. Demchak,8/24/1962,8/24/2023,11/1/1962,,Pittsburgh,PA,PA,PA,Economics,Allegheny College,MBA,University of Michigan,no,no,11/1/2013,no,,,,,Virgo,61,51
Lumen Technologies,179,-40,19687,2033,36000,Telecommunications,Monroe,LA,no,no,no,yes,139,Jeffrey K. Storey,https://www.lumen.com,LUMN,11533,Jeffrey K. Storey,5/12/1960,5/12/2023,11/1/1960,,,,OK,CO,"Engineering, Physics, Math",Northeastern State University,Telecommunications Systems,Southern Methodist University,no,no,11/1/2013,yes,,,,,Taurus,63,53
Avnet,180,-12,19535,193,14500,Wholesalers,Phoenix,AZ,no,no,no,yes,168,Philip R. Gallagher,https://www.avnet.com,AVT,4017,Philip R. Gallagher,,,,,,,NJ,AZ,Marketing,Drexel,no,no,no,no,11/1/2020,no,,,,,,,
Tenet Healthcare,181,-14,19485,914,88968,Health Care,Dallas,TX,no,no,no,yes,167,Saumya Sutaria,https://www.tenethealth.com,THC,9388,Saumya Sutaria,,,,,,,,CA,"Molecular and Cellular Biology, Economics",University of California Berkeley,MD,University of California San Diego,Dr,no,11/1/2021,no,,,,,,,
Kimberly-Clark,182,-24,19440,1814,45000,Household Products,Irving,TX,no,no,no,yes,158,Michael D. Hsu,https://www.kimberly-clark.com,KMB,41496,Michael D. Hsu,,,,,,,,TX,,Carnegie-Mellon,MBA,University of Chicago,no,no,11/1/2019,no,,,,,,,
Kohl's,183,12,19433,938,67000,Retailing,Menomonee Falls,WI,no,no,yes,yes,195,Michelle D. Gass,https://www.kohls.com,KSS,7775,Michelle D. Gass,1/1/1970,1/1/2023,11/1/1970,"MMDD missing, default to 1/1",,ME,ME,WI,Chemical Engineering,Worcester Polytechnic Institute,MBA,University of Washington,no,no,11/1/2018,no,,,,,,53,48
BlackRock,184,8,19374,5901,18400,Financials,New York,NY,no,no,no,yes,192,Laurence D. Fink,https://www.blackrock.com,BLK,116186,Laurence D. Fink,11/2/1952,11/2/2023,11/1/1952,,Los Angeles,CA,CA,NY,Political Science,UCLA,MBA,UCLA,no,no,11/1/1988,founder,,,,,Scorpio,71,36
Jones Lang LaSalle,185,1,19367,962,98200,Financials,Chicago,IL,no,no,no,yes,186,Christian Ulbrich,https://www.jll.com,JLL,11946,Christian Ulbrich,1/1/1966,1/1/2023,11/1/1966,"MMDD missing, default to 1/1",,Germany,Germany,Germany,Business Administration,University of Hamburg,Advanced Management,Stanford,no,no,11/1/2016,yes,,,,,,57,50
Lear,186,-7,19263,374,160100,Motor Vehicles & Parts,Southfield,MI,no,no,no,yes,179,Raymond E. Scott,https://www.lear.com,LEA,8513,Raymond E. Scott,8/3/1965,8/3/2023,11/1/1965,,Flint,MI,MI,MI,Economics,"University of Michigan, Flint",MBA,Michigan State,no,no,11/1/2018,no,Advanced Management,"Stanford, UPenn",,,Leo,58,53
Lincoln National,187,-15,19230,1405,10848,Financials,Radnor,PA,no,no,yes,yes,172,Ellen G. Cooper,https://www.lfg.com,LNC,11272,Ellen G. Cooper,,,,,,,PA,PA,Actuarial Science,Temple,no,no,no,no,11/1/2022,no,,,,,,,
Charles Schwab,188,63,18996,5855,33400,Financials,Westlake,TX,no,no,no,yes,251,Walter W. Bettinger II,https://www.aboutschwab.com,SCHW,159676,Walter W. Bettinger II,11/29/1960,11/29/2023,11/1/1960,,,OH,OH,OH,Finance,Ohio University,Advanced Management,Harvard,honorary,no,11/1/2008,yes,,,,,Sagittarius,63,48
Ross Stores,189,53,18916,1723,100000,Retailing,Dublin,CA,no,no,yes,yes,242,Barbara Rentler,https://www.rossstores.com,ROST,31742,Barbara Rentler,1/1/1958,1/1/2023,11/1/1958,"MMDD missing, default to 1/1",,,,NY,,,,,,no,11/1/2014,no,,,,,,65,56
Mastercard,190,11,18884,8687,24000,Business Services,Purchase,NY,no,no,no,yes,201,Michael Miebach,https://www.mastercard.com,MA,349331,Michael Miebach,1/1/1968,1/1/2023,11/1/1968,"MMDD missing, default to 1/1",,Germany,Germany,NY,,,MBA,University of Passau,no,no,11/1/2021,no,Advanced Management,Harvard,,,,55,53
Genuine Parts,191,-18,18871,899,52000,Wholesalers,Atlanta,GA,no,no,no,yes,173,Paul D. Donahue,https://www.genpt.com,GPC,17888,Paul D. Donahue,,,,,,,,GA,,,,,,no,11/1/2016,no,,,,,,,
WestRock,192,-22,18746,838,49900,Materials,Atlanta,GA,no,no,no,yes,170,David B. Sewell,https://www.westrock.com,WRK,12379,David B. Sewell,,,,,,,,,Economics,University of Southern California,no,no,no,no,11/1/2021,no,,,,,,,
EOG Resources,193,92,18642,4664,2800,Energy,Houston,TX,no,no,no,yes,285,Ezra Y. Yacob,https://www.eogresources.com,EOG,69796,Ezra Y. Yacob,,,,,,,,TX,Geology,University of Puget Sound,Geology,Colorado School of Mines,no,no,11/1/2021,no,MBA,"University of Texas, Tyler",,,,,
Cognizant Technology Solutions,194,-9,18507,2137,330600,Technology,Teaneck,NJ,no,no,no,yes,185,Brian Humphries,https://www.cognizant.com,CTSH,47035,Brian Humphries,,,,,,Ireland,Ireland,,Business Administration,University of Ulster,no,no,no,no,11/1/2019,yes,,,,,,,
Moderna,195,0,18471,12202,2700,Health Care,Cambridge,MA,yes,no,no,yes,,Stephane Bancel,https://www.modernatx.com,MRNA,69424,Stephane Bancel,7/10/1972,7/10/2023,11/1/1972,,Marseille,France,France,MA,Engineering,Ecole Centrale Paris,Chemical Engineering,University of Minnesota,no,no,11/1/2011,yes,MBA,Harvard,,,Cancer,51,39
Steel Dynamics,196,123,18409,3214,10640,Materials,Fort Wayne,IN,no,yes,no,yes,319,Mark D. Millett,https://www.steeldynamics.com,STLD,15812,Mark D. Millett,11/20/1969,11/20/2023,11/1/1969,,,,England,,Metallurgical Engineering,University of Surrey,no,no,no,no,11/1/1993,founder,,,,,Scorpio,54,24
HF Sinclair,197,82,18389,558,4208,Energy,Dallas,TX,no,no,no,yes,279,Michael C. Jennings,https://www.hfsinclair.com,DINO,8896,Michael C. Jennings,,,,,,,,TX,,Darmouth,MBA,University of Chicago,no,no,11/1/2020,yes,,,,,,,
Illinois Tool Works,252,-12,14455,2694,45000,Industrials,Glenview,IL,no,no,no,yes,240,E. Scott Santi,https://www.itw.com,ITW,65312,E. Scott Santi,,,,,,,IL,IL,Accounting,"University of Illinois, Urbana-Champaign",MBA,Northwestern,no,no,11/1/2012,no,,,,,,,
Parker-Hannifin,253,-30,14348,1746,54640,Industrials,Cleveland,OH,no,no,no,yes,223,Thomas L. Williams,https://www.parker.com,PH,36457,Thomas L. Williams,,,,,,,,OH,Mechanical Engineering,Bucknell,MBA,Xavier University,no,no,11/1/2015,no,,,,,,,
Otis Worldwide,254,-18,14298,1246,70000,Industrials,Farmington,CT,no,no,yes,yes,236,Judith F. Marks,https://www.otis.com,OTIS,32701,Judith F. Marks,,,,,,,,CT,Electrical Engineering,Lehigh University,no,no,no,no,11/1/2019,yes,,,,,,,
Omnicom Group,255,-26,14289,1408,71700,Business Services,New York,NY,no,no,no,yes,229,John D. Wren,https://www.omnicomgroup.com,OMC,17566,John D. Wren,3/26/1952,3/26/2023,11/1/1952,,,NY,NY,CT,,Adelphi,MBA,Adelphi,no,no,11/1/1997,"yes, of internal subsidiary",,,,,Aries,71,45
Principal Financial,256,-50,14263,1711,18600,Financials,Des Moines,IA,no,no,no,yes,206,Daniel J. Houston,https://www.principal.com,PFG,19177,Daniel J. Houston,7/31/1961,7/31/2023,11/1/1961,,,IA,TX,IA,,Iowa State,no,no,no,no,11/1/2015,no,,,,,Leo,62,54
Dominion Energy,257,-64,14218,3288,17100,Energy,Richmond,VA,no,no,no,yes,193,Robert M. Blue,https://www.dominionenergy.com,D,68883,Robert M. Blue,,,,,,,VA,VA,Political Science,University of Virginia,MBA,University of Virginia,no,no,11/1/2020,"yes, of internal subsidiary",JD,Yale,,,,,
Kellogg,258,-36,14181,1488,31000,"Food, Beverages & Tobacco",Battle Creek,MI,no,no,no,yes,222,Steven A. Cahillane,https://www.kelloggcompany.com,K,21890,Steven A. Cahillane,,,,,,NY,,GA,Political Science,Northwestern University,MBA,Harvard,no,no,11/1/2017,yes,,,,,,,
Fluor,259,-63,14157,-440,40582,Engineering & Construction,Irving,TX,no,no,no,no,196,David E. Constable,https://www.fluor.com,FLR,4052,David E. Constable,1/1/1961,1/1/2023,11/1/1961,"MMDD missing, default to 1/1",,Canada,,,Engineering,University of Alberta,Advanced Management,Arizona State University,no,no,11/1/2021,yes,Advanced Management,UPenn,,,,62,60
